"","PCT_RS.result","PCT_RR.result","PCT_RC.result","PCT_XB.result","PCT_SB.result","PCT_CB.result","PCT_GC.result","PCT_GF.result","PCT_SA.result","PCT_FN.result","PCT_HP.result","PCT_WD.result","PCT_OT.result","PCT_BDRK.result","PCT_BIGR.result","PCT_SFGF.result","PCT_SAFN.result","XSDGM.result","XSPGM.result","SB_PT_D50.result","SB_PT_D10.result","SB_PT_D25.result","SB_PT_D75.result","SB_PT_D90.result","SB_PP_D50.result","SB_PP_D10.result","SB_PP_D25.result","SB_PP_D75.result","SB_PP_D90.result","XEMBED.result","XEMBED.count","XEMBED.sd","PCT_CPOM.result"
"911NCPCR2 2010-05-24",0,12.3809523809524,0,6.66666666666667,13.3333333333333,11.4285714285714,13.3333333333333,6.66666666666667,20.952380952381,10.4761904761905,0,3.80952380952381,0.952380952380952,12.3809523809524,57.1428571428571,38.0952380952381,31.4285714285714,32.1400093877269,14.8412714042388,40,0.03,1.03,625,5660,40,0.03,1.03,625,625,39.4444444444444,9,28.1118796557217,19.047619047619
"911NCPCR2 2010-06-14",0,13.3333333333333,0,5.71428571428571,17.1428571428571,13.3333333333333,9.52380952380952,2.85714285714286,16.1904761904762,20,0,1.9047619047619,0,13.3333333333333,59.0476190476191,39.0476190476191,36.1904761904762,23.4457535498392,9.89120578021339,157,0.03,1.03,625,5660,157,0.03,9,625,625,45.3571428571429,14,33.4240980382467,0.952380952380952
"911NCPCR2 2010-06-30",0,24.7619047619048,0,0.952380952380952,22.8571428571429,14.2857142857143,8.57142857142857,5.71428571428571,7.61904761904762,9.52380952380952,0,5.71428571428571,0,24.7619047619048,71.4285714285714,22.8571428571429,17.1428571428571,120.530749183002,30.597873175464,625,0.830000000000001,40,5660,5660,40,1.03,1.03,625,625,22.3333333333333,15,30.2292825553225,20.952380952381
"911NCPCR2 2010-07-20",0,9.52380952380952,0,0,22.8571428571429,16.1904761904762,6.66666666666667,5.71428571428571,25.7142857142857,4.76190476190476,0,1.9047619047619,6.66666666666667,9.52380952380952,55.2380952380952,36.1904761904762,30.4761904761905,37.9748889070878,21.2219307740751,157,1.03,1.03,625,3142.5,9,0.03,0.03,157,625,44.75,20,36.9734969090592,13.3333333333333
"911NCPCR2 2010-08-19",0,19.047619047619,0,1.9047619047619,17.1428571428571,13.3333333333333,2.85714285714286,5.71428571428571,11.4285714285714,28.5714285714286,0,0,0,19.047619047619,54.2857142857143,45.7142857142857,40,16.5304762608754,4.18721359798039,157,0.03,0.03,625,5660,157,1.03,9,157,625,58.3333333333333,15,25.8198889747161,19.047619047619
"911NCPCR2 2010-09-14",12.3809523809524,0,0,4.76190476190476,15.2380952380952,25.7142857142857,8.57142857142857,7.61904761904762,19.047619047619,0,0,0,6.66666666666667,12.3809523809524,66.6666666666667,26.6666666666667,19.047619047619,91.2630523922793,48.5450163940119,157,1.03,9,625,5660,1.03,1.03,1.03,157,625,51.4814814814815,27,31.2192869015914,49.0384615384615
"911S00538 2009-05-05",44.7619047619048,0,0,0,10.4761904761905,5.71428571428571,4.76190476190476,4.76190476190476,25.7142857142857,3.80952380952381,0,0,0,44.7619047619048,65.7142857142857,34.2857142857143,29.5238095238095,146.29486274649,7.56372750026735,625,1.03,1.03,5660,5660,1.03,0.03,1.03,9,40,46,5,36.4691650576209,16.1904761904762
"911S01818 2009-05-06",1.9047619047619,0,0,0,0.952380952380952,8.57142857142857,10.4761904761905,11.4285714285714,44.7619047619048,21.9047619047619,0,0,0,1.9047619047619,21.9047619047619,78.0952380952381,66.6666666666667,1.7194279526102,1.46921151524852,1.03,0.03,1.03,9,157,40,1.03,1.03,157,625,38.8888888888889,9,30.5959329178097,36.1904761904762
"911S02058 2009-05-05",19.047619047619,0.952380952380952,0,7.61904761904762,11.4285714285714,8.57142857142857,17.1428571428571,8.57142857142857,22.8571428571429,3.80952380952381,0,0,0,20,64.7619047619048,35.2380952380952,26.6666666666667,65.8497201705067,21.6266030716766,40,1.03,1.03,2500,5660,1.03,1.03,1.03,157,625,35.5555555555556,9,31.7651975875765,36.1904761904762
"911S03354 2009-05-05",0,0,0,8.57142857142857,11.4285714285714,6.66666666666667,5.71428571428571,14.2857142857143,43.8095238095238,7.61904761904762,0,1.9047619047619,0,0,32.3809523809524,65.7142857142857,51.4285714285714,7.79146988274841,7.79146988274841,1.03,1.03,1.03,157,625,1.03,0.03,0.03,1.03,9,53.75,8,21.9983765634778,49.5238095238095
"911S04086 2009-05-06",0,0,0,1.9047619047619,3.80952380952381,2.85714285714286,0,8.57142857142857,46.6666666666667,32.3809523809524,0,3.80952380952381,0,0,8.57142857142857,87.6190476190476,79.047619047619,0.663507482350627,0.663507482350627,1.03,0.03,0.03,1.03,9,9,1.03,1.03,9,157,46.6666666666667,3,25.1661147842358,89.5238095238095
"911TJPC2 2010-04-27",0,3,0,0,0,10,7,31,39,4,0,0,6,3,20,74,43,5.34440242604947,4.24792269594188,9,1.03,1.03,9,157,9,0.03,1.03,9,40,23.5,10,20.9563037453332,36.3636363636364
"911TJPC2 2010-05-24",0,3.80952380952381,0,0,0,8.57142857142857,10.4761904761905,39.0476190476191,14.2857142857143,23.8095238095238,0,0,0,3.80952380952381,22.8571428571429,77.1428571428571,38.0952380952381,3.24244003878366,2.41255994390446,9,0.03,1.03,9,157,1.03,0.03,1.03,9,40,66.4285714285714,7,25.9349001852532,7.61904761904762
"911TJPC2 2010-06-14",0,0.952380952380952,0,0,0,4.76190476190476,12.3809523809524,17.1428571428571,42.8571428571429,20,0,1.9047619047619,0,0.952380952380952,18.0952380952381,80,62.8571428571429,1.61106628726555,1.48713917945952,1.03,0.03,1.03,9,40,9,0.03,1.03,9,40,60,5,24.4948974278318,6.66666666666667
"911TJPC2 2010-07-01",0,2.85714285714286,0,0,1.9047619047619,2.85714285714286,19.047619047619,33.3333333333333,22.8571428571429,16.1904761904762,0,0.952380952380952,0,2.85714285714286,26.6666666666667,72.3809523809524,39.0476190476191,4.06090287501638,3.27514631555071,9,0.03,1.03,40,40,NA,NA,NA,NA,NA,10,3,10,19.047619047619
"911TJPC2 2010-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,0.23,0.53,1.03,1.03,NA,0,NA,NA
"LALT-501 2009-06-22",0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5660.00000000001,NA,5660,5660,5660,5660,5660,0.03,0.03,0.03,0.03,0.03,NA,0,NA,16.1904761904762
"LALT500 2009-06-22",0,0,97.1428571428571,0,0,0,0,0,1.9047619047619,0.952380952380952,0,0,0,0,0,2.85714285714286,2.85714285714286,4278.91851416977,0.316907050471625,5660,5660,5660,5660,5660,0.53,0.03,0.03,1.03,1.03,NA,0,NA,2.85714285714286
"LALT500 2010-07-15",0,0,99.0476190476191,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0.952380952380952,0.952380952380952,5041.63865010412,0.03,5660,5660,5660,5660,5660,0.03,0.03,0.03,10.7725,157,NA,0,NA,12.3809523809524
"LALT501 2010-07-15",0,0,94.2857142857143,0,0,0,0,0,2.85714285714286,2.85714285714286,0,0,0,0,0,5.71428571428571,5.71428571428571,3127.70464102972,0.175783958312469,5660,5660,5660,5660,5660,1.03,0.03,1.03,40,157,NA,0,NA,23.8095238095238
"LALT502 2009-06-22",0,0,0,0,5.71428571428571,9.52380952380952,6.66666666666667,0,16.1904761904762,49.5238095238095,12.3809523809524,0,0,0,21.9047619047619,65.7142857142857,65.7142857142857,1.54250693788683,0.483654417788075,1.03,0.03,0.03,157,5660,0.03,0.03,0.03,0.03,0.03,51.8181818181818,11,24.522716741088,12.3809523809524
"LALT502 2010-07-15",0,0,0,0,1.9047619047619,17.1428571428571,8.57142857142857,2.85714285714286,40.9523809523809,21.9047619047619,6.66666666666667,0,0,0,27.6190476190476,65.7142857142857,62.8571428571429,3.2820126104389,1.92729896987735,1.03,0.03,1.03,157,157,9,1.03,1.03,40,40,29.4444444444444,18,19.0887161686511,58.0952380952381
"LALT503 2010-07-15",0,0,99.0476190476191,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0.952380952380952,0.952380952380952,5041.63865010412,0.03,5660,5660,5660,5660,5660,9,1.03,1.03,9,9,NA,0,NA,3.80952380952381
"LAR0052 2010-07-08",0,0,0,0,1.9047619047619,5.71428571428571,31.4285714285714,18.0952380952381,40,2.85714285714286,0,0,0,0,39.047619047619,60.9523809523809,42.8571428571429,6.55444508226217,6.55444508226217,9,1.03,1.03,40,40,40,3.42100000000001,9,40,157,61.6666666666667,6,40.7021702943058,0
"LAR0080 2010-07-08",0,0,0,0,0.952380952380952,0.952380952380952,3.80952380952381,60.9523809523809,30.4761904761905,0.952380952380952,0,0.952380952380952,0.952380952380952,0,5.71428571428571,92.3809523809524,31.4285714285714,4.92958341947912,4.92958341947912,9,1.03,1.03,9,9,1.03,1.03,1.03,1.03,3.421,90,1,NA,0.952380952380952
"LAR0092 2010-07-27",0,0,0.952380952380952,0,3.80952380952381,16.1904761904762,37.1428571428571,31.4285714285714,5.71428571428571,4.76190476190476,0,0,0,0,57.1428571428571,41.9047619047619,10.4761904761905,20.9386461190104,19.841077453076,40,4.218,9,40,157,1.03,1.03,1.03,1.03,9,40,18,34.2138602805079,18.0952380952381
"LB_RA 2010-05-26",0,0,91.4285714285714,0,0,0,0,0.952380952380952,6.66666666666667,0,0,0,0.952380952380952,0,0,7.61904761904762,6.66666666666667,2979.73537514291,1.35055689759857,5660,5660,5660,5660,5660,1.03,1.03,1.03,9,157,NA,0,NA,0.952380952380952
