"","XCDENMID.result","XCDENMID.count","XCDENMID.sd","XCDENBK.result","XCDENBK.count","XCDENBK.sd"
"SMC02006 2009-05-26",0,44,0,NA,0,NA
"SMC02059 2010-06-03",21.3903743315508,44,29.6458783419385,NA,0,NA
"SMC02088 2011-06-14",9.35828877005348,44,15.6569700986842,NA,0,NA
"SMC02092 2011-06-14",41.4438502673797,44,28.2237363900464,NA,0,NA
"SMC02123 2011-07-05",0,44,0,NA,0,NA
"SMC02127 2009-06-04",49.5989304812834,44,23.6793351972178,NA,0,NA
"SMC02145 2011-07-19",84.7593582887701,44,12.0564497892694,NA,0,NA
"SMC02152 2010-07-14",78.8770053475936,44,17.2232829952818,NA,0,NA
"SMC02167 2010-06-07",7.62032085561497,44,19.636166998806,NA,0,NA
"SMC02206 2011-07-19",5.61497326203209,44,17.2062849324234,NA,0,NA
"SMC02228 2009-06-23",2.94117647058824,44,6.27935289604843,NA,0,NA
"SMC02270 2010-06-30",39.4385026737968,44,27.3439902820678,NA,0,NA
"SMC02417 2011-07-20",1.47058823529412,44,4.03672686174542,NA,0,NA
"SMC02436 2009-05-28",10.5335157318741,43,23.6188126357521,NA,0,NA
"SMC02452 2011-06-30",2.80748663101604,44,6.77123177327629,NA,0,NA
"SMC02464 2011-06-22",2.13903743315508,44,6.09610395652793,NA,0,NA
"SMC02536 2011-06-29",29.2780748663102,44,26.6255877344991,NA,0,NA
"SMC02548 2010-07-09",94.6524064171123,44,7.15598675827176,NA,0,NA
"SMC02563 2010-06-24",3.20855614973262,44,12.1982065396983,NA,0,NA
"SMC02573 2010-06-09",35.5614973262032,44,34.9263683161765,NA,0,NA
"SMC02591 2011-07-21",85.1604278074866,44,18.0968059444895,NA,0,NA
"SMC02622 2010-06-15",0,44,0,NA,0,NA
"SMC02644 2011-06-30",81.2585499316006,43,21.7936749428074,NA,0,NA
"SMC02656 2009-06-23",28.8770053475936,44,23.4546754877175,NA,0,NA
"SMC02749 2011-06-27",0,44,0,NA,0,NA
"SMC02804 2011-06-20",20.5882352941176,44,18.5799908988384,NA,0,NA
"SMC02884 2010-06-23",19.6524064171123,44,31.3568378248637,NA,0,NA
"SMC02902 2011-08-02",84.4919786096257,44,17.7648104784388,NA,0,NA
"SMC02947 2011-07-12",0,44,0,NA,0,NA
"SMC02976 2010-07-27",52.4064171122995,44,27.5561909173067,NA,0,NA
"SMC02984 2010-06-23",0.267379679144385,44,1.77359614457508,NA,0,NA
"SMC03110 2011-07-26",72.5935828877005,44,19.0691558783187,NA,0,NA
"SMC03133 2010-06-02",0,44,0,NA,0,NA
"SMC03216 2011-07-27",61.4973262032086,44,47.288334740037,NA,0,NA
"SMC03234 2011-06-28",84.6256684491979,44,27.5678029538466,NA,0,NA
"SMC03268 2009-05-28",1.60427807486631,44,6.13199889258496,NA,0,NA
"SMC03280 2011-08-11",96.218487394958,42,8.50167940709593,NA,0,NA
"SMC03304 2011-06-29",24.8663101604278,44,24.5950100421329,NA,0,NA
"SMC03510 2011-07-21",23.1283422459893,44,19.2562157865831,NA,0,NA
"SMC03533 2010-06-01",46.6577540106952,44,37.5776918920722,NA,0,NA
"SMC03687 2010-06-02",7.62032085561497,44,16.8100423995912,NA,0,NA
"SMC03944 2010-07-12",7.62032085561497,44,11.3170328303242,NA,0,NA
"SMC03971 2011-07-11",15.9090909090909,44,35.0786754510522,NA,0,NA
"SMC03988 2011-06-29",77.1390374331551,44,29.1290353191695,NA,0,NA
"SMC04047 2009-05-14",0.133689839572193,44,0.88679807228754,NA,0,NA
"SMC04054 2009-05-27",91.3101604278075,44,12.7171655557553,NA,0,NA
"SMC04134 2011-07-26",71.2566844919786,44,18.261792189725,NA,0,NA
"SMC04175 2009-06-11",43.4491978609626,44,33.497738876571,NA,0,NA
"SMC04239 2009-06-11",27.4064171122995,44,36.7449891166696,NA,0,NA
