"","W1H_BRDG.result","W1H_BRDG.count","W1H_BRDG.sd","W1H_BLDG.result","W1H_BLDG.count","W1H_BLDG.sd","W1H_LDFL.result","W1H_LDFL.count","W1H_LDFL.sd","W1H_LOG.result","W1H_LOG.count","W1H_LOG.sd","W1H_MINE.result","W1H_MINE.count","W1H_MINE.sd","W1H_ORVY.result","W1H_ORVY.count","W1H_ORVY.sd","W1H_PARK.result","W1H_PARK.count","W1H_PARK.sd","W1H_PSTR.result","W1H_PSTR.count","W1H_PSTR.sd","W1H_PVMT.result","W1H_PVMT.count","W1H_PVMT.sd","W1H_PIPE.result","W1H_PIPE.count","W1H_PIPE.sd","W1H_ROAD.result","W1H_ROAD.count","W1H_ROAD.sd","W1H_CROP.result","W1H_CROP.count","W1H_CROP.sd","W1H_VEGM.result","W1H_VEGM.count","W1H_VEGM.sd","W1H_WALL.result","W1H_WALL.count","W1H_WALL.sd","W1_HALL_EMAP.result","W1_HALL_SWAMP.result"
"ME-CC 2010-07-12",0,11,0,0,11,0,0.0681818181818182,11,0.452267016866645,0,11,0,0,11,0,0.303181818181818,11,0.467332916180162,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.538,11,0.344547819612895,0.0681818181818182,0.0681818181818182
"ME-CC 2011-07-07",0,11,0,0,11,0,0.409090909090909,11,1.23029929839709,0,11,0,0,11,0,0.242545454545455,11,0.311555277453442,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.05313636363636,11,0.238954008507533,0.409090909090909,0.409090909090909
"ME-SCR 2011-07-13",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"ME-VR2 2010-07-07",0,11,0,0.0606363636363636,11,0.269814784957789,0.0909090909090909,11,0.404519917477945,0,11,0,0,11,0,0.3335,11,0,0,11,0,0,11,0,0,11,0,0.0681818181818182,11,0.452267016866645,0.3335,11,0,0,11,0,0,11,0,0.3335,11,0,0.151545454545455,0.151545454545455
"ME-VR2 2011-07-06",0,11,0,0.0303181818181818,11,0.201108066833368,0.113636363636364,11,0.517862740677313,0,11,0,0,11,0,0,11,0,0.0454545454545455,11,0.301511344577764,0,11,0,0.0909545454545455,11,0.311555277453442,0,11,0,0,11,0,0,11,0,0,11,0,0.0303181818181818,11,0.201108066833368,0.143954545454545,0.143954545454545
"MO2_Mont 2010-06-30",0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,7,NA,0,0
"POM_RC 2010-05-28",0,11,0,0.234863636363636,11,0.571647459700311,0.0909090909090909,11,0.404519917477945,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.5,11,0,0.136363636363636,11,0.606779876216918,0.909090909090909,11,0.603022689155527,0,11,0,0,11,0,1.5,11,0,0.325772727272727,0.325772727272727
"POM_RD 2010-06-16",0,11,0,0,11,0,0.681818181818182,11,0.80903983495589,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.681818181818182,11,0.452267016866645,0.363636363636364,11,1.08082460102545,0.894045454545455,11,0.22450855420026,0,11,0,0,11,0,1.5,11,0,0.681818181818182,0.681818181818182
"REF-CS 2008-10-22",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.3335,11,0,0,11,0,0,11,0,0,11,0,0,0
"REF-CS 2009-04-29",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
