"","PBM_S.result","PBM_V.result","PBM_E.result"
"SMC16266 2011-08-01",72.7272727272727,22.7272727272727,4.54545454545455
"SMC16832 2010-06-18",100,0,0
"SMC16980 2011-07-06",27.2727272727273,54.5454545454545,18.1818181818182
"SMC17056 2009-07-02",27.2727272727273,72.7272727272727,0
"SMC20032 2010-06-18",100,0,0
"SMC21822 2010-06-21",27.2727272727273,68.1818181818182,4.54545454545455
"SMC24222 2010-06-21",22.7272727272727,59.0909090909091,18.1818181818182
"SMC25288 2011-06-30",100,0,0
"SMC26288 2009-05-12",81.8181818181818,13.6363636363636,4.54545454545455
"SMC26909 2010-05-31",0,100,0
"SMC27709 2010-05-31",9.09090909090909,90.9090909090909,0
"SMC32718 2010-06-03",90.9090909090909,9.09090909090909,0
"SMC32897 2010-06-21",100,0,0
"SMC34888 2010-06-24",68.1818181818182,31.8181818181818,0
"SMC35697 2010-06-10",90.9090909090909,4.54545454545455,4.54545454545455
"SMCR8_020 2011-07-12",4.54545454545455,95.4545454545455,0
"SMCR8_026 2009-05-31",16.6666666666667,83.3333333333333,0
"SMCR8_105 2011-07-14",0,100,0
"SMCR8_116 2011-07-25",0,100,0
"SMCR8_124 2009-06-24",100,0,0
"SMCR8_131 2009-06-16",54.5454545454545,36.3636363636364,9.09090909090909
"SMCR8_175 2009-06-09",100,0,0
"SMCR8_179 2009-06-01",22.7272727272727,77.2727272727273,0
"SMCR8_184 2009-07-07",100,0,0
"SMCR8_191 2009-06-02",0,100,0
"SMCR8_196 2009-05-24",81.8181818181818,18.1818181818182,0
"SMCR8_197 2009-06-04",100,0,0
"SMCR8_197 2011-07-11",100,0,0
"SMCR8_207 2009-06-07",0,90.9090909090909,9.09090909090909
"SMCR8_218 2009-06-23",100,0,0
"SMCR8_219 2009-07-06",100,0,0
"SMCR8_229 2009-06-01",27.2727272727273,72.7272727272727,0
"SMCR8_240 2010-06-23",100,0,0
"SMCR8_254 2009-06-16",77.2727272727273,13.6363636363636,9.09090909090909
"SMCR8_254 2011-07-19",86.3636363636364,13.6363636363636,0
"SMCR8_262 2009-06-07",54.5454545454545,13.6363636363636,31.8181818181818
"SMCR8_274 2010-06-17",27.2727272727273,72.7272727272727,0
"SMCR8_275 2009-06-09",63.6363636363636,18.1818181818182,18.1818181818182
"SMCR8_289 2009-06-03",18.1818181818182,77.2727272727273,4.54545454545455
"SMCR8_299 2009-06-09",100,0,0
"SMCR8_312 2009-06-14",0,100,0
"SMCR8_312 2011-07-26",0,100,0
"SMCR8_317 2009-06-03",100,0,0
"SMCR8_327 2009-06-28",0,0,100
"SMCR8_333 2009-06-17",18.1818181818182,81.8181818181818,0
"SMCR8_339 2009-06-08",22.7272727272727,77.2727272727273,0
"SMCR8_339 2011-07-25",0,100,0
"SMCR8_344 2009-06-15",0,100,0
"SMCR8_356 2010-06-10",0,50,50
"SMCR8_376 2009-06-11",9.09090909090909,63.6363636363636,27.2727272727273
"SMCR8_396 2010-05-27",0,100,0
"SMCR8_404 2011-06-15",100,0,0
"SMCR8_407 2010-06-21",0,100,0
"SMCR8_415 2009-07-08",100,0,0
"SMCR8_418 2009-06-08",18.1818181818182,59.0909090909091,22.7272727272727
"SMCR8_418 2011-07-13",0,0,100
"SMCR8_436 2010-06-23",100,0,0
"SMCR8_439 2011-06-08",100,0,0
"SMCR8_445 2010-06-24",100,0,0
"SMCR8_453 2011-07-12",0,81.8181818181818,18.1818181818182
"SMCR8_467 2011-06-09",0,100,0
"SMCR8_474 2009-07-05",100,0,0
"SMCR8_483 2011-06-06",27.2727272727273,68.1818181818182,4.54545454545455
"SMCR8_494 2011-06-20",0,100,0
"SMCR8_501 2011-06-14",0,100,0
"SMCR8_511 2011-06-09",0,100,0
"SMCR8_512 2011-07-19",0,100,0
"SMCR8_513 2009-06-22",100,0,0
"SMCR8_521 2011-06-06",100,0,0
"SMCR8_528 2011-07-11",0,100,0
"SMCR8_533 2011-06-07",0,100,0
"SMCR8_549 2011-06-13",100,0,0
"SMCR8_558 2011-08-08",100,0,0
"SMCR8_566 2011-06-15",100,0,0
"SMCR8_572 2009-06-30",0,100,0
"SMCR8_575 2011-06-07",0,100,0
"SMCR8_590 2011-07-20",0,100,0
"SMCR8_593 2011-06-13",100,0,0
"SMCR8_594 2011-06-20",0,100,0
"SMCR8_598 2010-06-15",100,0,0
"SMCR8_600 2009-06-28",100,0,0
"SMCR8_601 2009-06-24",100,0,0
"SMCR8_605 2009-07-01",0,100,0
"SMCR8_607 2011-07-19",0,100,0
"SMCR8_613 2009-06-29",0,4.54545454545455,95.4545454545455
"SMCR8_618 2011-07-19",0,100,0
"SMCR8_622 2011-06-16",0,100,0
"SMCR8_629 2011-07-14",0,4.54545454545455,95.4545454545455
"SMCR8_633 2011-07-26",100,0,0
"SMCR8_688 2009-07-01",72.7272727272727,27.2727272727273,0
"VA_RC 2010-06-02",0,100,0
"WN_RD 2010-05-27",0,100,0
"WN_RD1 2010-05-27",0,100,0
