"","PCT_CF.result","PCT_CF.count","PCT_CF.sd","PCT_DR.result","PCT_DR.count","PCT_DR.sd","PCT_GL.result","PCT_GL.count","PCT_GL.sd","PCT_POOL.result","PCT_POOL.count","PCT_POOL.sd","PCT_RA.result","PCT_RA.count","PCT_RA.sd","PCT_RI.result","PCT_RI.count","PCT_RI.sd","PCT_RN.result","PCT_RN.count","PCT_RN.sd","PCT_FAST.result","PCT_SLOW.result","PCT_CF_WT.result","PCT_CF_WT.count","PCT_GL_WT.result","PCT_GL_WT.count","PCT_POOL_WT.result","PCT_POOL_WT.count","PCT_RA_WT.result","PCT_RA_WT.count","PCT_RI_WT.result","PCT_RI_WT.count","PCT_RN_WT.result","PCT_RN_WT.count","PCT_FAST_WT.result","PCT_SLOW_WT.result"
"907SRSD1x 2008-07-02",1,10,3.16227766016838,66,10,37.8447119452933,5,10,14.142135623731,27,10,29.7396106975939,0,10,0,1,10,2.10818510677892,0,10,0,2,32,0.34,10,1.7,10,9.18,10,0,10,0.34,10,0,10,0.68,10.88
"907SRSD1x 2008-07-09",1,10,3.16227766016838,82.5,10,35.6876885089398,2,10,6.32455532033676,14,10,29.4203255514883,0,10,0,0.5,10,1.58113883008419,0,10,0,1.5,16,0.175,10,0.35,10,2.45,10,0,10,0.0875,10,0,10,0.2625,2.8
"907SRSD1x 2010-05-04",1.5,10,3.37474278855276,1,10,3.16227766016838,43.5,10,23.6936465933146,2,10,3.4960294939005,0,10,0,52,10,21.6281709300111,0,10,0,53.5,45.5,1.485,10,43.065,10,1.98,10,0,10,51.48,10,0,10,52.965,45.045
"907SRSD1x 2010-06-01",1.5,10,4.74341649025257,0,10,0,63,10,26.2678510731274,0,10,0,0,10,0,35.5,10,23.1480740739556,0,10,0,37,63,1.5,10,63,10,0,10,0,10,35.5,10,0,10,37,63
"907SRSD1x 2010-06-15",0,10,0,0,10,0,43,10,32.3350515007407,9,10,28.4604989415154,0,10,0,48,10,31.5524255098646,0,10,0,48,52,0,10,43,10,9,10,0,10,48,10,0,10,48,52
"907SRSD1x 2010-06-29",0,10,0,0,10,0,50,10,25.3859103528797,0,10,0,0,10,0,50,10,25.3859103528797,0,10,0,50,50,0,10,50,10,0,10,0,10,50,10,0,10,50,50
"907SRSD1x 2010-07-13",0,10,0,0,10,0,46.5,10,28.8723243108537,0,10,0,0,10,0,53.5,10,28.8723243108537,0,10,0,53.5,46.5,0,10,46.5,10,0,10,0,10,53.5,10,0,10,53.5,46.5
"911NCPCR2 2010-04-28",17,10,33.6815148775177,0,10,0,16.5,10,27.7938842193746,26,10,31.7804971641414,0,10,0,24.5,10,30.7724624371278,16,10,25.7983634278525,57.5,42.5,17,10,16.5,10,26,10,0,10,24.5,10,16,10,57.5,42.5
"911NCPCR2 2010-05-24",2,10,4.83045891539648,0,10,0,20.5,10,24.6587825237897,1,10,2.10818510677892,0,10,0,75.5,10,24.2039941607441,1,10,2.10818510677892,78.5,21.5,2,10,20.5,10,1,10,0,10,75.5,10,1,10,78.5,21.5
"911NCPCR2 2010-06-14",0,10,0,0,10,0,24,10,19.6920739836559,10,10,16.996731711976,0,10,0,59.5,10,18.4767120692208,6.5,10,14.1519531435692,66,34,0,10,24,10,10,10,0,10,59.5,10,6.5,10,66,34
"911NCPCR2 2010-06-30",0,10,0,0,10,0,23,10,14.1813649241218,17,10,20.0277585143997,0,10,0,60,10,20,0,10,0,60,40,0,10,23,10,17,10,0,10,60,10,0,10,60,40
"911NCPCR2 2010-07-20",0,10,0,0,10,0,30.5,10,28.9107823023406,14,10,17.1269767715535,0,10,0,55.5,10,31.3093880134662,0,10,0,55.5,44.5,0,10,30.5,10,14,10,0,10,55.5,10,0,10,55.5,44.5
"911NCPCR2 2010-08-19",0,10,0,0,10,0,32,10,17.5119007154183,12,10,16.1932770686548,0,10,0,56,10,24.1292814278051,0,10,0,56,44,0,10,32,10,12,10,0,10,56,10,0,10,56,44
