"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"SMC01040 2009-06-09",200,8.01,7.46,0.22,358,14.48,58.064,NA
"SMC01046 2009-05-21",328,7.14,7.66,2.36,4421,22.14,71.852,-1.1
"SMC01049 2010-06-01",288,8.22,8.14,1.08,2111,19.55,67.19,0.4
"SMC01096 2010-06-07",254,9.33,8.25,0.29,500,16.3,61.34,NA
"SMC01151 2009-06-17",163,10.13,8.13,0.52,897,17.38,63.284,NA
"SMC01155 2009-05-12",167,9.63,7.3,NA,1196,20.4,68.72,NA
"SMC01158 2009-05-20",136,6.7,7.92,1.42,2735,20.4,68.72,-1.2
"SMC01161 2010-05-27",176,9.73,8.03,0.93,1811,16.33,61.394,1.8
"SMC01172 2009-06-24",480,4.5,7.44,0.73,540,13.93,57.074,-0.1
"SMC01174 2011-07-20",240,6.34,7.58,0.9,1764,18.06,64.508,7.4
"SMC01196 2010-07-14",136,7.7,7.1,0.14,253,17.23,63.014,NA
"SMC01201 2010-06-02",328,8.54,8.14,1.07,2090,19.41,66.938,2.4
"SMC01208 2010-06-08",283,16.81,8.33,1.02,1922,22.59,72.662,NA
"SMC01215 2011-07-13",225,8.39,7.93,0.72,1419,16.93,62.474,NA
"SMC01248 2011-07-26",246,7.57,8.13,0.25,523,17.26,63.068,NA
"SMC01257 2011-06-16",156,11.03,8.43,0.45,905,20.49,68.882,NA
"SMC01258 2009-05-27",420,4.26,7.18,2.01,3800,19.75,67.55,-1.7
"SMC01278 2009-06-17",76,15.35,9.23,0.63,1279,25.82,78.476,1.7
"SMC01320 2010-06-07",246,7.81,8.51,0.27,522,20.88,69.584,NA
"SMC01341 2009-06-22",NA,7.26,9.2,0.5,1035,19.5,67.1,6
"SMC01358 2011-06-21",194,14.61,8.92,0.38,7.75,18.54,65.372,NA
"SMC01367 2011-06-23",NA,9.94,7.25,0.18,381,15.02,59.036,NA
"SMC01372 2010-07-13",252,8.04,7.78,0.61,1224,24.99,76.982,0.7
"SMC01383 2010-06-01",NA,11,7.9,0.17,354,21.55,70.79,NA
"SMC01384 2009-06-29",280,7.52,8.01,1.05,2068,26.48,79.664,-0.8
"SMC01424 2009-07-01",200,3.9,7.49,0.25,433,16.5,61.7,NA
"SMC01452 2010-07-15",184,8.93,8.36,0.3,563,20.93,69.674,NA
"SMC01504 2011-06-28",152,9.56,7.36,0.17,349,11.17,52.106,NA
"SMC01512 2010-06-23",315,9.4,8.2,0.92,1436,14.31,57.758,NA
"SMC01523 2011-07-07",NA,12.36,5.21,0.1,220,18.02,64.436,NA
"SMC01544 2010-07-14",270,8.11,8.08,0.28,575,25.03,77.054,NA
"SMC01550 2009-06-25",368,9.2,8,0.44,891,21.78,71.204,1.2
"SMC01555 2011-06-23",340,11.84,8.24,1.01,1969,19.76,67.568,NA
"SMC01559 2011-06-21",NA,6.68,7.49,0.15,321,18.95,66.11,NA
"SMC01567 2010-06-09",175,8.97,8.18,0.49,824,16.02,60.836,NA
"SMC01606 2009-05-26",232,8.03,7.63,1.3,2510,18.9,66.02,2.2
"SMC01640 2009-06-29",68,9.44,9.66,1.57,3049,31.6,88.88,1.3
"SMC01655 2011-07-06",NA,11.06,6.4,0.12,252,18.53,65.354,NA
"SMC01676 2010-07-03",208,7.59,7.9,0.62,1239,20.84,69.512,0
"SMC01684 2009-06-03",135,9.23,7.91,0.4615,761,15.96,60.728,NA
"SMC01692 2011-06-20",154,9.4,8.34,0.19,394,18.05,64.49,NA
"SMC01694 2010-06-28",235,12.14,8.24,0.81,1602,23.46,74.228,NA
"SMC01716 2010-06-08",82,11.73,10.6,0.56,1270,31.11,87.998,NA
"SMC01717 2009-05-28",232,1.41,6.97,0.6,1200,17.6,63.68,-1.6
"SMC01726 2010-06-30",100,13.85,9.18,0.66,1343,33.98,93.164,NA
"SMC01748 2009-06-03",177,6.39,7.73,0.92,1720,22.1,71.78,NA
"SMC01808 2011-06-13",119,8.9,7.95,0.13,266,12.26,54.068,NA
"SMC01814 2010-06-09",312,7.24,7.72,6.1,10739,21.02,69.836,6.4
"SMC01860 2009-05-28",182,8.6,8.27,0.62,1101,19.39,66.902,NA
"SMC01909 2009-06-08",282,8.58,7.94,1.03,2080,16.74,62.132,1.6
"SMC01909 2009-06-09",282,8.58,7.94,1.03,2080,16.74,62.132,1.6
"SMC01923 2011-07-12",275,11.85,7.58,1.11,2155,20.91,69.638,NA
"SMC01960 2010-06-23",235,10.84,7.77,1.22,2275,22.7,72.86,NA
"SMC01962 2010-06-08",440,5.22,7.5,3.24,5942,20.87,69.566,8.5
"SMC01972 2010-06-07",77,12.59,10.6,0.54,1301,34.18,93.524,NA
"SMC01979 2011-07-14",177,8.7,8.05,32,662,13.86,56.948,NA
"SMC01990 2009-05-21",334,5.62,7.66,1.51,2884,18.12,64.616,-1.8
"SMC02006 2009-05-26",272,14.9,8.48,1.23,2402,23.56,74.408,-2
"SMC02059 2010-06-03",NA,9.7,9.19,0.4,828,34.29,93.722,NA
"SMC02088 2011-06-14",178,6.66,8.5,0.2,409,23.13,73.634,NA
"SMC02092 2011-06-14",171,6.83,8.34,0.19,391,16.34,61.412,NA
"SMC02123 2011-07-05",NA,15.6,7.66,0.11,237,23.69,74.642,NA
"SMC02127 2009-06-04",250,8.24,7.48,0.69,1110,15.02,59.036,NA
